City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Mersing,MY,2.4312,103.8405,77.83,89,99,7.47,overcast clouds
137,Hilo,US,19.7297,-155.09,82.27,89,40,6.91,scattered clouds
138,Yar-Sale,RU,66.8333,70.8333,38.64,95,100,4.41,overcast clouds
139,Sri Aman,MY,1.2376,111.4621,73.94,98,95,0.98,overcast clouds
140,Barentu,ER,15.1139,37.5928,83.55,36,85,7.61,overcast clouds
141,Espinosa,BR,-14.9261,-42.8192,92.44,21,10,8.28,clear sky
142,Iraquara,BR,-12.2486,-41.6194,78.84,50,56,9.89,broken clouds
143,Jibuti,DJ,11.5,42.5,78.28,61,0,12.44,clear sky
144,Bhanpuri,IN,21.1,80.9167,74.61,89,10,5.17,clear sky
145,Talcahuano,CL,-36.7167,-73.1167,58.68,67,20,11.5,few clouds
146,Pavlodar,KZ,52.3,76.95,49.8,50,40,6.71,scattered clouds
147,Jamestown,US,42.097,-79.2353,57.52,37,0,13.8,clear sky
148,Catamarca,AR,-28.4696,-65.7852,83.07,38,2,14.0,clear sky
149,Hobyo,SO,5.3505,48.5268,78.55,82,35,15.5,scattered clouds
150,Luau,AO,-10.7073,22.2247,80.11,36,79,3.33,broken clouds
151,Fort Nelson,CA,58.8053,-122.7002,30.94,72,41,3.0,scattered clouds
152,Livingston,GB,55.9029,-3.5226,50.59,80,0,4.61,clear sky
153,Boende,CD,-0.2167,20.8667,70.27,99,97,4.74,heavy intensity rain
154,Barranca,PE,-10.75,-77.7667,66.04,71,33,11.27,scattered clouds
155,Berezovyy,RU,51.6667,135.7,34.38,70,84,2.06,broken clouds
156,Saint-Philippe,RE,-21.3585,55.7679,72.99,76,64,6.8,broken clouds
157,Pangody,RU,65.85,74.4859,37.42,88,100,4.36,overcast clouds
158,Kiruna,SE,67.8557,20.2251,32.92,100,100,3.44,fog
159,Ust-Tsilma,RU,65.441,52.1498,40.24,95,100,4.92,overcast clouds
160,Juba,SS,4.8517,31.5825,74.48,84,99,2.68,light rain
161,Port Alfred,ZA,-33.5906,26.891,66.18,90,98,3.0,overcast clouds
162,Baker City,US,44.7749,-117.8344,60.19,53,0,3.44,clear sky
163,Mendi,PG,-6.1761,143.6513,53.73,97,99,3.71,overcast clouds
164,Goalpara,IN,26.1667,90.6167,73.45,86,5,1.77,clear sky
165,Jinchang,CN,38.4953,102.1739,47.64,29,0,0.94,clear sky
166,Sorland,NO,67.667,12.6934,44.46,76,100,9.37,overcast clouds
167,Clarence Town,AU,-32.5833,151.7833,62.51,98,68,4.0,broken clouds
168,Leh,IN,34.1667,77.5833,42.55,35,9,5.01,clear sky
169,Dawson Creek,CA,55.7666,-120.2362,52.75,61,20,2.62,few clouds
170,Praia,CV,14.9215,-23.5087,82.94,57,20,14.97,few clouds
171,Carutapera,BR,-1.195,-46.02,86.2,62,71,8.86,broken clouds
172,Seymour,US,38.9592,-85.8903,70.09,37,90,5.99,overcast clouds
173,Walvis Bay,NA,-22.9575,14.5053,59.77,85,52,5.55,broken clouds
174,Severo-Kurilsk,RU,50.6789,156.125,41.32,66,66,6.64,broken clouds
175,Araruna,BR,-6.5583,-35.7417,83.79,39,90,13.02,overcast clouds
176,Marquette,US,46.5333,-87.6335,44.33,75,100,6.78,overcast clouds
177,Dingle,PH,10.9995,122.6711,77.4,86,100,3.98,light rain
178,Fengzhen,CN,40.4394,113.1536,32.86,33,0,7.25,clear sky
179,Port Hardy,CA,50.6996,-127.4199,59.0,67,8,5.32,clear sky
180,Kemijarvi,FI,66.7131,27.4306,48.51,93,100,11.45,moderate rain
181,Porto Novo,BJ,6.4965,2.6036,80.29,80,83,6.71,broken clouds
182,Haiger,DE,50.75,8.2167,62.01,88,40,7.0,scattered clouds
183,Waipawa,NZ,-41.4122,175.5153,42.87,86,14,3.2,few clouds
184,Havoysund,NO,70.9963,24.6622,46.63,87,98,11.39,light rain
185,Airai,TL,-8.9266,125.4092,61.81,71,100,2.01,overcast clouds
186,Swan River,CA,52.1058,-101.2676,32.05,31,52,8.08,broken clouds
187,Tanah Merah,MY,5.8,102.15,75.7,93,100,1.36,overcast clouds
188,Shieli,KZ,44.1667,66.75,57.74,45,100,8.5,overcast clouds
