City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Obo,CF,70.38,overcast clouds,5.3998,26.4869,
285,Teknaf,BD,77.97,moderate rain,20.8624,92.3058,Forestry Guesthouse
287,Humaita,BR,84.7,broken clouds,-7.5061,-63.0208,Corrêa Hotel
291,Chipata,ZM,78.89,few clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
298,Sola,VU,80.35,broken clouds,-13.8833,167.55,Leumerus Bungalows
299,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
303,Jalu,LY,75.42,clear sky,29.0331,21.5482,صاحبة الفخامة
304,Batangafo,CF,75.52,overcast clouds,7.3008,18.2833,OCHA Office
307,Bull Savanna,JM,83.57,few clouds,17.8868,-77.5902,Big Red's
309,Balkanabat,TM,71.42,broken clouds,39.5108,54.3671,Nebitchi Hotel
312,Manokwari,ID,79.39,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
313,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
315,Alindao,CF,71.89,moderate rain,5.0267,21.2088,OCHA Alindao
317,Costa Rica,BR,72.82,overcast clouds,-23.4167,-54.65,
320,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
322,Tupancireta,BR,72.19,broken clouds,-29.0806,-53.8358,Hotel Cassino
323,Tiznit,MA,84.9,broken clouds,29.5833,-9.5,
324,Sumenep,ID,81.55,overcast clouds,-7.0167,113.8667,Family Nur Hotel
329,Awbari,LY,77.76,scattered clouds,26.5921,12.7805,استراحة الشارب العائلي
331,Bilhaur,IN,75.43,clear sky,26.85,80.0833,Bedipur
332,Sechura,PE,75.06,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
337,Cairns,AU,73.35,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
339,Ugoofaaru,MV,81.48,overcast clouds,5.6667,73.0,Ungoofaaru Inn
340,Caxito,AO,79.93,scattered clouds,-8.5785,13.6643,
343,Mattru,SL,75.63,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
345,Bandarbeyla,SO,78.33,scattered clouds,9.4942,50.8122,JABIR HOTEL
347,Bimbo,CF,73.78,moderate rain,4.2567,18.4158,
350,Najran,SA,72.93,clear sky,17.4924,44.1277,محمد هادي ال فطيح
351,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
353,Matara,LK,77.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
358,Ojuelos De Jalisco,MX,70.81,scattered clouds,21.8667,-101.5833,Hotel La Paz
