City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Baracoa,CU,84.99,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
465,Inhambane,MZ,73.72,overcast clouds,-23.865,35.3833,Oceano
469,Sambava,MG,72.45,scattered clouds,-14.2667,50.1667,Melrose
471,Marzuq,YE,74.91,clear sky,14.4,46.4667,حيد القفلة
475,Labuhan,ID,79.11,overcast clouds,-6.8844,112.2051,DoubleFAG
479,Sibu,MY,74.41,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
480,Tual,ID,83.5,broken clouds,-5.6667,132.75,Grand Vilia Hotel
482,Padang,ID,76.19,heavy intensity rain,-0.9492,100.3543,Mercure Padang
487,Wukari,NG,81.41,few clouds,7.85,9.7833,Elimtop
488,Pemangkat,ID,80.24,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
489,Jhang,PK,73.62,clear sky,33.6748,72.6963,Bismallah sentory store
491,Awjilah,LY,75.22,clear sky,29.1081,21.2869,المنزل
496,Zhanjiang,CN,73.13,overcast clouds,21.2815,110.3427,创业旅店
498,Angoche,MZ,76.33,clear sky,-16.2325,39.9086,Guest House HESADA
499,Tukrah,LY,71.28,clear sky,32.5341,20.5791,Lagrota restaurant
501,Kaoma,ZM,78.85,scattered clouds,-14.7833,24.8,KAOMA AIRPORT
502,Beira,MZ,77.16,clear sky,-19.8436,34.8389,Beira Terrace Hotel
505,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
513,Makakilo City,US,75.69,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
514,Basoko,CD,70.07,overcast clouds,1.2391,23.616,Jackyna Hotel
515,Chirongui,YT,76.93,few clouds,-12.9319,45.1483,La Villa Mahatsara
516,Brive-La-Gaillarde,FR,72.28,scattered clouds,45.25,1.5,Logis Hôtel la Gamade
519,Payo,ID,73.76,overcast clouds,-3.7508,103.6372,Mess keban agung
520,Kerema,PG,78.1,overcast clouds,-7.9631,145.7785,Frena Lodge
521,Omboue,GA,78.26,overcast clouds,-1.5746,9.2618,Hotel Olako
524,Brasilia,BR,83.32,scattered clouds,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
526,Pontian Kecil,MY,76.21,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
529,Martapura,ID,77.09,broken clouds,-3.4167,114.85,Montana Hotel Syariah
530,Gizo,SB,82.11,overcast clouds,-8.103,156.8419,Imagination Island
531,Palm Coast,US,84.25,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
533,Sur,OM,80.1,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
535,Granada,ES,78.75,overcast clouds,37.25,-3.25,CORTIJO EL AVELLANO
540,Beliator,IN,77.14,clear sky,23.3333,87.2167,Taltore
542,Baoro,CF,71.46,broken clouds,5.6667,15.9667,
544,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
545,San Fernando,PH,80.33,overcast clouds,15.0286,120.6898,Maharlika Hostel
549,Malakal,SS,76.32,light rain,9.5334,31.6605,Nile Palace Hotel
550,Saint George,US,73.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
551,Trincomalee,LK,80.04,moderate rain,8.5711,81.2335,Welcombe Hotel
555,Kieta,PG,78.84,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
559,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
563,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
564,Algiers,DZ,75.02,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
565,Luganville,VU,77.67,broken clouds,-15.5333,167.1667,The Espiritu Hotel
566,Avera,US,80.65,clear sky,33.194,-82.5271,
569,Tezu,IN,70.25,clear sky,27.9167,96.1667,Circuit House
572,Etchoropo,MX,82.42,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
573,Surajgarh,IN,78.21,clear sky,28.3124,75.7347,Hotel Queen Garden
589,Peniche,PT,71.29,light rain,39.3558,-9.3811,Hotel Star inn Peniche
591,Katobu,ID,75.61,overcast clouds,-4.9408,122.5276,La Ode Husein
594,Dillon,US,82.87,scattered clouds,34.4166,-79.3712,Dillon Express Inn
595,Luena,AO,81.18,overcast clouds,-11.7833,19.9167,Hotel Kandamba
597,Houma,US,84.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
600,Nouadhibou,MR,71.11,clear sky,20.931,-17.0347,El Medina
604,Sahuaripa,MX,76.98,scattered clouds,29.05,-109.2333,Estatua de Sahuaripa
605,Nandu,CN,74.64,overcast clouds,22.8525,110.8233,
606,Dera Bugti,PK,80.28,clear sky,29.0307,69.151,Nawab Bugti House
609,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
615,Ler,SS,70.39,moderate rain,8.3018,30.1418,Leer Humanitarian Hub
616,Bara,NG,81.97,broken clouds,10.3744,10.7288,
623,Kanigiri,IN,77.58,scattered clouds,15.4,79.5167,COMFORT INN
624,Dinguiraye,GN,79.97,overcast clouds,11.3,-10.7167,
625,Linares,CL,74.19,scattered clouds,-35.85,-71.6,Hotel Real
632,San Rafael,AR,76.6,few clouds,-34.6177,-68.3301,Hotel San Rafael
634,Yaan,NG,80.56,broken clouds,7.3833,8.5667,
641,Los Llanos De Aridane,ES,71.35,scattered clouds,28.6585,-17.9182,Valle Aridane
653,Florianopolis,BR,72.12,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
654,Bitam,GA,70.72,light rain,2.076,11.5007,HOTEL JEANNE YEBE BITAM
655,Iberia,US,84.06,few clouds,29.9502,-91.7507,back to back rv park
661,Inirida,CO,72.34,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
662,Wanlaweyn,SO,78.8,broken clouds,2.6185,44.8938,GAASHAAN HOME
665,Chitipa,MW,70.36,scattered clouds,-9.7024,33.2697,Tulipoka Lodges
670,Kang,BW,83.53,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
671,Contai,IN,77.36,clear sky,21.7786,87.7536,PATHFINDER
677,La Macarena,CO,82.27,overcast clouds,2.1837,-73.7849,Casa Hotel Real
679,Veraval,IN,81.0,clear sky,20.9,70.3667,Lords Inn Somnath
680,Waingapu,ID,81.39,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
681,Beruwala,LK,77.22,overcast clouds,6.4788,79.9828,The Palms Hotel
688,Napasar,IN,81.59,clear sky,27.9667,73.55,Laxmi Palace
